session_id,reviewer_id,artifact_id,system_label,total_time_s,n_approved,n_edited,n_flagged_factual,n_flagged_missing,n_flagged_attribution,n_flagged_style,n_flagged_other,n_removed,final_edit_distance,likert_confidence,likert_effort
s001,R1,CS-01,System 1,362,17,1,0,0,0,3,0,0,11,5,6
s002,R1,CS-04,System 2,97,19,0,0,0,0,0,0,0,0,6,3
s003,R2,CS-04,System 2,254,18,0,0,0,0,3,0,2,283,4,5
s004,R2,CS-01,System 1,149,17,0,0,1,0,0,0,0,0,5,4
s025,R1,CS-02,System 1,123,8,0,0,0,0,0,0,0,0,5,4
s026,R1,CS-03,System 2,122,18,0,0,0,0,0,0,0,0,6,3
s027,R1,CS-05,System 1,320,25,0,0,0,0,1,0,0,0,3,7
s028,R1,CS-06,System 2,83,10,0,0,0,0,1,0,0,0,5,3
s029,R1,CS-02,System 2,34,8,0,0,0,0,0,0,0,0,7,1
s030,R1,CS-03,System 1,246,19,0,0,0,0,0,0,0,0,3,6
s031,R1,CS-05,System 2,118,11,0,0,0,0,0,0,0,0,5,3
s032,R1,CS-06,System 1,247,13,0,0,0,0,0,0,0,0,4,6
s033,R2,CS-02,System 1,40,8,0,0,0,0,0,0,0,0,7,1
s034,R2,CS-03,System 2,317,19,0,0,0,0,0,0,0,0,2,7
s035,R2,CS-05,System 1,157,11,0,0,0,0,0,0,0,0,6,4
s036,R2,CS-06,System 2,285,13,0,0,0,0,0,0,0,0,2,6
s037,R2,CS-02,System 2,93,8,0,0,0,0,0,0,0,0,6,2
s038,R2,CS-03,System 1,134,18,0,0,0,0,0,0,0,0,6,2
s039,R2,CS-05,System 2,336,26,0,0,0,0,0,0,0,0,3,7
s040,R2,CS-06,System 1,143,11,0,0,0,0,0,0,0,0,6,3
